Date,Close,High,Low,Open,Volume
2020-01-02,5577.22998046875,5577.5498046875,5513.31982421875,5515.02001953125,284700
2020-01-03,5512.14990234375,5541.02001953125,5481.9599609375,5484.93994140625,260400
2020-01-06,5500.1298828125,5501.52001953125,5441.009765625,5446.6201171875,241100
2020-01-07,5558.1298828125,5573.66015625,5511.18017578125,5532.5400390625,297200
2020-01-08,5595.43994140625,5622.3701171875,5551.47021484375,5560.81005859375,279300
2020-01-09,5640.10009765625,5657.2001953125,5598.8798828125,5647.85986328125,288200
2020-01-10,5622.39990234375,5666.14013671875,5611.43994140625,5665.47998046875,237900
2020-01-13,5681.60986328125,5682.02978515625,5640.31982421875,5650.16015625,225600
2020-01-14,5669.490234375,5707.3701171875,5652.97998046875,5678.10009765625,249400
2020-01-15,5643.18994140625,5677.3798828125,5625.6298828125,5666.39013671875,230500
2020-01-16,5723.7998046875,5724.169921875,5679.93994140625,5683.72998046875,255100
2020-01-17,5736.06005859375,5742.35986328125,5703.27978515625,5740.7900390625,0
2020-01-21,5733.2001953125,5751.2998046875,5709.7001953125,5709.7001953125,278200
2020-01-22,5752.169921875,5802.259765625,5744.85009765625,5770.919921875,0
2020-01-23,5799.7099609375,5800.7099609375,5734.2099609375,5761.56005859375,261100
2020-01-24,5742.85986328125,5853.47021484375,5709.91015625,5846.3798828125,372000
2020-01-27,5580.68994140625,5616.72021484375,5565.2900390625,5571.25,306600
2020-01-28,5673.06005859375,5687.6298828125,5605.14990234375,5626.25,255200
2020-01-29,5617.77978515625,5681.080078125,5617.419921875,5680.35986328125,0
2020-01-30,5621.1298828125,5623.27978515625,5535.16015625,5567.16015625,355800
2020-01-31,5473.4501953125,5590.4599609375,5455.2099609375,5590.02978515625,359000
2020-02-03,5564.52978515625,5574.81982421875,5498.10986328125,5498.68994140625,0
2020-02-04,5712.6201171875,5715.39013671875,5651.25,5675.35009765625,287400
2020-02-05,5761.1298828125,5821.2900390625,5723.97021484375,5812.330078125,284100
2020-02-06,5803.72021484375,5807.27001953125,5749.52978515625,5783.490234375,249300
2020-02-07,5721.41015625,5765.259765625,5717.31005859375,5764.81982421875,262000
2020-02-10,5798.66015625,5798.990234375,5690.02978515625,5690.25,261500
2020-02-11,5847.52978515625,5882.2998046875,5826.4599609375,5841.1298828125,326000
2020-02-12,5915.5,5917.39990234375,5882.77978515625,5893.75,307200
2020-02-13,5909.47021484375,5935.31005859375,5855.330078125,5855.64013671875,305800
2020-02-14,5907.669921875,5942.52978515625,5878.89990234375,5937.43994140625,254600
2020-02-18,5867.2001953125,5874.64013671875,5835.8798828125,5840.06982421875,0
2020-02-19,5954.6201171875,5968.60009765625,5919.89990234375,5919.93994140625,273600
2020-02-20,5872.83984375,5944.990234375,5791.02978515625,5929.75,0
2020-02-21,5723.169921875,5844.10986328125,5696.009765625,5834.77001953125,356300
2020-02-24,5481.009765625,5554.14013671875,5458.10009765625,5466.68017578125,456600
2020-02-25,5320.83984375,5552.14990234375,5299.81005859375,5545.3701171875,491800
2020-02-26,5325.33984375,5448.7099609375,5296.60009765625,5364.169921875,421200
2020-02-27,5077.97021484375,5272.97998046875,5075.330078125,5149.60986328125,586200
2020-02-28,5135.31005859375,5146.43017578125,4903.31982421875,4903.31982421875,0
2020-03-02,5314.009765625,5315.58984375,5082.2001953125,5189.259765625,551400
2020-03-03,5138.990234375,5382.93994140625,5093.8798828125,5308.14013671875,599100
2020-03-04,5367.52978515625,5367.7099609375,5180.31982421875,5227.14013671875,414400
2020-03-05,5197.419921875,5314.81005859375,5158.5400390625,5209.35986328125,408200
2020-03-06,5086.419921875,5122.83984375,4958.080078125,5031.31005859375,523400
2020-03-09,4690.85986328125,4900.2001953125,4684.41015625,4689.5400390625,554200
2020-03-10,4928.08984375,4929.0498046875,4675.52978515625,4853.2900390625,498300
2020-03-11,4694.43017578125,4837.2900390625,4633.68017578125,4786.9599609375,526300
2020-03-12,4229.47021484375,4557.06005859375,4226.31982421875,4348.9599609375,698200
2020-03-13,4660.580078125,4661.1201171875,4241.6298828125,4504.490234375,620100
2020-03-16,4043.340087890625,4397.2001953125,4033.030029296875,4322.43994140625,609500
2020-03-17,4373.6201171875,4389.6201171875,3980.070068359375,4139.580078125,615500
2020-03-18,4072.60009765625,4246.60986328125,3905.489990234375,4057.97998046875,647200
2020-03-19,4178.2900390625,4274.91015625,3969.39990234375,4063.64990234375,570500
2020-03-20,4030.77001953125,4342.41015625,4025.760009765625,4261.56982421875,640700
2020-03-23,4091.4599609375,4170.27978515625,3946.8701171875,4057.340087890625,586400
2020-03-24,4478.830078125,4479.1298828125,4314.41015625,4332.85009765625,618100
2020-03-25,4441.509765625,4639.43994140625,4370.5498046875,4479.18994140625,0
2020-03-26,4726.8798828125,4733.669921875,4500.0,4500.0,514400
2020-03-27,4502.7001953125,4641.58984375,4495.419921875,4562.490234375,434900
2020-03-30,4687.47998046875,4696.5,4534.72021484375,4556.3701171875,402600
2020-03-31,4606.7099609375,4741.02978515625,4579.06005859375,4667.5498046875,492300
2020-04-01,4378.75,4539.8701171875,4341.6201171875,4434.91015625,434500
2020-04-02,4459.009765625,4482.240234375,4336.919921875,4336.919921875,393800
2020-04-03,4378.89990234375,4484.8798828125,4337.39990234375,4447.490234375,353000
2020-04-06,4783.16015625,4800.68994140625,4548.83984375,4578.60986328125,462000
2020-04-07,4757.9501953125,4929.740234375,4752.22998046875,4929.56982421875,480000
2020-04-08,4905.419921875,4920.740234375,4767.18017578125,4817.58984375,373600
2020-04-09,4872.0400390625,4993.330078125,4836.1201171875,4953.85986328125,427400
2020-04-13,4892.85009765625,4897.41015625,4807.259765625,4840.43017578125,311400
2020-04-14,5095.81982421875,5101.81982421875,4997.669921875,5001.91015625,389700
2020-04-15,4992.7099609375,5027.39013671875,4940.91015625,4990.64990234375,326500
2020-04-16,5086.8798828125,5101.7900390625,4998.419921875,5057.259765625,400900
2020-04-17,5156.759765625,5181.43017578125,5095.1298828125,5179.81005859375,393000
2020-04-20,5076.43017578125,5163.60009765625,5075.1201171875,5084.47998046875,326600
2020-04-21,4856.7998046875,5015.740234375,4834.64013671875,5004.56005859375,449900
2020-04-22,5079.41015625,5104.5,4975.2099609375,4990.72021484375,0
2020-04-23,5035.2099609375,5119.0,5026.31005859375,5063.89990234375,316400
2020-04-24,5134.990234375,5140.18017578125,5008.56005859375,5054.02978515625,335000
2020-04-27,5198.7998046875,5228.7900390625,5179.3701171875,5195.47021484375,302400
2020-04-28,5125.77001953125,5287.9599609375,5122.5400390625,5282.14013671875,318600
2020-04-29,5338.009765625,5355.33984375,5209.93994140625,5225.06982421875,434400
2020-04-30,5234.0,5316.64013671875,5222.2998046875,5316.64013671875,406300
2020-05-01,4999.580078125,5113.77978515625,4979.009765625,5089.35009765625,393300
2020-05-04,5048.18017578125,5051.93994140625,4953.7900390625,4977.2998046875,286900
2020-05-05,5140.9501953125,5203.27978515625,5117.68994140625,5121.419921875,293800
2020-05-06,5186.009765625,5246.25,5162.919921875,5191.009765625,273700
2020-05-07,5245.1298828125,5280.33984375,5223.85986328125,5261.60986328125,0
2020-05-08,5355.31982421875,5357.8701171875,5263.72998046875,5290.97021484375,0
2020-05-11,5366.33984375,5401.22021484375,5308.52001953125,5311.85986328125,0
2020-05-12,5236.08984375,5405.4501953125,5234.93994140625,5391.3798828125,292300
2020-05-13,5124.93994140625,5275.0,5055.490234375,5236.35986328125,389900
2020-05-14,5225.56982421875,5227.43017578125,5009.259765625,5076.10009765625,373200
2020-05-15,5193.2099609375,5200.97021484375,5101.77001953125,5107.47021484375,403200
2020-05-18,5366.8798828125,5387.22998046875,5297.97998046875,5306.83984375,0
2020-05-19,5370.009765625,5460.66015625,5369.02001953125,5377.81982421875,319900
2020-05-20,5513.5,5542.91015625,5460.5400390625,5461.47021484375,340400
2020-05-21,5432.77001953125,5523.35986328125,5415.91015625,5505.9599609375,303200
2020-05-22,5453.2998046875,5456.990234375,5375.14013671875,5420.58984375,257200
2020-05-26,5493.2001953125,5588.7998046875,5486.93994140625,5575.02978515625,331900
2020-05-27,5547.10009765625,5547.7998046875,5364.009765625,5491.509765625,427500
2020-05-28,5499.2099609375,5622.0498046875,5486.27978515625,5527.10009765625,0
2020-05-29,5619.85986328125,5631.14990234375,5481.1298828125,5516.64990234375,0
2020-06-01,5610.490234375,5634.68994140625,5572.77978515625,5585.009765625,232800
2020-06-02,5675.22998046875,5677.259765625,5570.06982421875,5621.6201171875,276300
2020-06-03,5783.06005859375,5800.31982421875,5734.43994140625,5741.31005859375,295600
2020-06-04,5760.52001953125,5824.919921875,5720.72998046875,5751.83984375,279900
2020-06-05,5915.47021484375,5964.60986328125,5821.7099609375,5832.490234375,347500
2020-06-08,5934.02978515625,5935.7001953125,5855.8701171875,5911.330078125,263800
2020-06-09,5915.0498046875,5946.580078125,5878.97998046875,5887.5498046875,311300
2020-06-10,5937.9599609375,5984.22021484375,5916.89013671875,5946.41015625,331900
2020-06-11,5577.6298828125,5818.9501953125,5577.0498046875,5797.8798828125,421300
2020-06-12,5662.47021484375,5759.22021484375,5552.419921875,5728.35009765625,0
2020-06-15,5729.97998046875,5743.5498046875,5528.97021484375,5551.18994140625,297800
2020-06-16,5857.8701171875,5928.81982421875,5775.490234375,5895.47998046875,330100
2020-06-17,5878.9501953125,5927.85986328125,5861.97998046875,5888.6298828125,252400
2020-06-18,5888.18017578125,5899.39013671875,5848.85986328125,5865.27978515625,232600
2020-06-19,5872.0498046875,5976.27001953125,5840.68017578125,5950.740234375,492300
2020-06-22,5922.39013671875,5925.16015625,5839.8798828125,5865.66015625,271300
